10197773,120,1000,1.00,1,100,5100228,77231,6435,9,0,0,5
8202150,120,1000,1.00,5,100,4101075,46183,37794,1562,99409,5055,5
1387212,120,1000,1.00,50,100,693791,3383,88697,690,2077637,11474,5
713745,120,1000,1.00,100,100,356922,617,0,0,2304333,18268,5
10213704,120,1000,1.00,1,100,5107522,80671,6448,34,0,0,5
8206257,120,1000,1.00,5,100,4105319,58436,47035,1419,19763,925,5
2003364,120,1000,1.00,50,100,1001806,1712,1628754,16548,19892,68,5
6440929,120,1000,1.00,100,100,3220893,29824,0,0,46606,515,5
10144624,120,1000,1.00,1,100,5073665,35987,6473,44,0,0,5
9575178,120,1000,1.00,5,100,4787589,55668,8105,130,20116,2890,5
8329669,120,1000,1.00,50,100,4165930,34166,9277,83,26105,201,5
6455553,120,1000,1.00,100,100,3228212,13036,0,0,46430,203,5
