5313209,120,1000,0.00,50,100,2656930,46214,5
3915278,120,1000,0.60,50,100,1957639,5603,5
2317305,120,1000,0.80,50,100,1158951,5592,5
1772505,120,1000,0.90,50,100,886369,1786,5
1393461,120,1000,1.00,50,100,696823,2278,5
1134004,120,1000,1.10,50,100,567154,943,5
956331,120,1000,1.20,50,100,478165,22514,5
814433,120,1000,1.30,50,100,407270,27532,5
682270,120,1000,1.40,50,100,341135,33612,5
649831,120,1000,1.50,50,100,324958,1600,5
3271558,120,1000,0.00,50,1000,1636427,49805,5
2394576,120,1000,0.60,50,1000,1197610,3713,5
1678881,120,1000,0.80,50,1000,839668,25486,5
1360651,120,1000,0.90,50,1000,680420,26328,5
1132151,120,1000,1.00,50,1000,566075,30481,5
958964,120,1000,1.10,50,1000,479610,20163,5
834546,120,1000,1.20,50,1000,417386,2223,5
725302,120,1000,1.30,50,1000,362700,2250,5
628359,120,1000,1.40,50,1000,314221,16044,5
571792,120,1000,1.50,50,1000,285896,1269,5
6959583,120,1000,0.00,50,100,3480237,31012,5
5063694,120,1000,0.60,50,100,2532853,467829,5
3024539,120,1000,0.80,50,100,1512269,91519,5
2396892,120,1000,0.90,50,100,1198605,4578,5
1852964,120,1000,1.00,50,100,926596,46396,5
1538799,120,1000,1.10,50,100,769499,1911,5
1314494,120,1000,1.20,50,100,657436,2204,5
1128430,120,1000,1.30,50,100,564288,1141,5
983839,120,1000,1.40,50,100,491985,1316,5
884707,120,1000,1.50,50,100,442472,1387,5
3188904,120,1000,0.00,50,1000,1594452,295979,5
1579788,120,1000,0.60,50,1000,790235,2164,5
813082,120,1000,0.80,50,1000,406703,3880,5
624788,120,1000,0.90,50,1000,312394,2878,5
490363,120,1000,1.00,50,1000,245181,2320,5
403494,120,1000,1.10,50,1000,201842,1664,5
340606,120,1000,1.20,50,1000,170304,2839,5
288803,120,1000,1.30,50,1000,144434,602,5
250183,120,1000,1.40,50,1000,125093,561,5
221596,120,1000,1.50,50,1000,110872,388,5
14177872,120,1000,0.00,50,100,7091751,28619,5
13904842,120,1000,0.60,50,100,7215235,53072,5
13268316,120,1000,0.80,50,100,6635054,424892,5
12859226,120,1000,0.90,50,100,6430456,369560,5
12848346,120,1000,1.00,50,100,6424173,152472,5
12211088,120,1000,1.10,50,100,6105544,155860,5
11670864,120,1000,1.20,50,100,5836955,65991,5
10675625,120,1000,1.30,50,100,5338531,34023,5
9661496,120,1000,1.40,50,100,4832067,79681,5
8796489,120,1000,1.50,50,100,4398244,45695,5
6567734,120,1000,0.00,50,1000,3285179,25510,5
6624631,120,1000,0.60,50,1000,3312753,9796,5
6522175,120,1000,0.80,50,1000,3261973,249137,5
6681325,120,1000,0.90,50,1000,3341552,2293,5
6700579,120,1000,1.00,50,1000,3350289,10701,5
6728253,120,1000,1.10,50,1000,3364575,1997,5
6745886,120,1000,1.20,50,1000,3372943,8457,5
6753233,120,1000,1.30,50,1000,3377514,12737,5
6780800,120,1000,1.40,50,1000,3392206,3265,5
6789881,120,1000,1.50,50,1000,3395848,2657,5
