279578.093750,1,100,zipf,50,
491069.406250,2,100,zipf,50,
837071.250000,4,100,zipf,50,
1448130.250000,8,100,zipf,50,
291084.687500,1,100,zipf,5,
559509.375000,2,100,zipf,5,
1060687.625000,4,100,zipf,5,
1982576.000000,8,100,zipf,5,
286965.500000,1,100,zipf,0,
545826.750000,2,100,zipf,0,
1075795.750000,4,100,zipf,0,
1988200.500000,8,100,zipf,0,
276093.000000,1,1000,zipf,50,
489025.000000,2,1000,zipf,50,
838322.000000,4,1000,zipf,50,
1450943.375000,8,1000,zipf,50,
294246.781250,1,1000,zipf,5,
553742.000000,2,1000,zipf,5,
1062829.750000,4,1000,zipf,5,
1852605.250000,8,1000,zipf,5,
284209.500000,1,1000,zipf,0,
533781.312500,2,1000,zipf,0,
955310.000000,4,1000,zipf,0,
1971754.750000,8,1000,zipf,0,
281340.500000,1,10000,zipf,50,
486619.000000,2,10000,zipf,50,
826139.750000,4,10000,zipf,50,
1645733.500000,8,10000,zipf,50,
291048.718750,1,10000,zipf,5,
556812.937500,2,10000,zipf,5,
1073146.375000,4,10000,zipf,5,
1984870.375000,8,10000,zipf,5,
286383.000000,1,10000,zipf,0,
522124.687500,2,10000,zipf,0,
985692.062500,4,10000,zipf,0,
1805571.625000,8,10000,zipf,0,
281956.500000,1,100000,zipf,50,
507203.875000,2,100000,zipf,50,
291723.500000,1,100000,zipf,5,
559844.437500,2,100000,zipf,5,
286155.906250,1,100000,zipf,0,
522146.906250,2,100000,zipf,0,
