1577370,6,251,1.00,1,100,394500,1484,0,0,0,0,167692763,109327,1582007,1031,5
3072572,12,250,1.00,1,100,768245,3398,0,0,0,0,326160388,337795,3076984,3186,5
6018635,24,250,1.00,1,100,1504658,35842,0,0,0,0,575722464,124523838,5431344,1174753,5
11802593,48,250,1.00,1,100,2951825,12795,0,0,0,0,1251998563,1030808,11811307,9724,5
22113507,96,250,1.00,1,100,5532011,199563,0,0,0,0,2345997172,21784887,22132048,205517,5
30856675,144,250,1.00,1,100,7718307,54935,0,0,0,0,3272986676,5308700,30877232,50082,5
36820618,192,250,1.00,1,100,9207591,261832,0,0,0,0,3904443177,27114365,36834369,255795,5
37885631,240,251,1.00,1,100,9477815,1019286,0,0,0,0,4019018068,110494778,37915264,1042403,5
1567832,6,250,1.00,1,100,392063,11156,0,0,0,0,166659390,1202871,1572258,11347,5
3071961,12,251,1.00,1,100,768193,4489,0,0,0,0,326138595,401989,3076779,3792,5
6034189,24,250,1.00,1,100,1508748,2866,0,0,0,0,640133660,186298,6038996,1757,5
11683785,48,250,1.00,1,100,2922887,203514,0,0,0,0,1250802573,2003397,11800024,18900,5
22051284,96,250,1.00,1,100,5515779,443327,0,0,0,0,2339114804,47623151,22067120,449275,5
30610487,144,250,1.00,1,100,7657665,155839,0,0,0,0,3254391478,16962590,30701806,160024,5
30828466,144,250,1.00,1,100,7710163,137387,0,0,0,0,3261621780,18010155,30770016,169907,5
35680618,240,250,1.00,1,100,8922361,3598295,0,0,0,0,3785869118,382157781,35715746,3605262,5
1575331,6,250,1.00,1,100,393937,3159,0,0,0,0,167453881,360998,1579753,3405,5
3062484,12,251,1.00,1,100,765926,10708,0,0,0,0,325177048,1165806,3067708,10998,5
6010933,24,250,1.00,1,100,1503530,12824,0,0,0,0,637921228,1531648,6018124,14449,5
11769186,48,250,1.00,1,100,2943078,12104,0,0,0,0,1248289750,1469498,11776318,13863,5
22107256,96,250,1.00,1,100,5529760,222205,0,0,0,0,2345042918,24168427,22123046,228004,5
29924849,144,250,1.00,1,100,7484245,1172366,0,0,0,0,3173744643,124893095,29940987,1178236,5
35922574,192,250,1.00,1,100,8980643,207524,0,0,0,0,3808217310,21997629,35926578,207524,5
37832446,240,250,1.00,1,100,9460640,552203,0,0,0,0,4011735953,59318744,37846565,559610,5
1290524,6,250,1.00,5,100,322800,5940,0,0,0,0,156040809,667990,1447330,6104,5
2331073,12,251,1.00,5,100,582844,11013,0,0,0,0,296571543,1366859,2730359,12641,5
4266882,24,250,1.00,5,100,1066863,25846,0,0,0,0,572416044,3643185,5214526,33262,5
7216463,48,250,1.00,5,100,1804358,115084,0,0,0,0,1089411220,7497989,9760021,81352,5
11390010,96,250,1.00,5,100,2848247,42630,0,0,0,0,2016281989,7834210,17675403,68603,5
13220967,144,250,1.00,5,100,3306988,59042,0,0,0,0,2723193142,16414114,23544458,128094,5
14014146,192,250,1.00,5,100,3504905,87747,0,0,0,0,3239096494,26978121,27801788,225777,5
13571937,240,250,1.00,5,100,3393469,114045,0,0,0,0,3463249998,37263010,29580451,315998,5
1309756,6,250,1.00,5,100,327613,6411,0,0,0,0,157023591,786100,1453963,7228,5
2360551,12,250,1.00,5,100,590294,9718,0,0,0,0,297248318,1021883,2726156,9494,5
4348230,24,250,1.00,5,100,1087636,3732,0,0,0,0,575573374,760549,5222891,6305,5
7462409,48,250,1.00,5,100,1865848,67036,0,0,0,0,1099567642,4882084,9784874,50709,5
11553380,96,250,1.00,5,100,2890298,329373,0,0,0,0,2034052654,9135792,17583159,138738,5
13852150,144,250,1.00,5,100,3463494,37722,0,0,0,0,2772937840,13090543,23539434,103721,5
14484877,192,250,1.00,5,100,3622126,585188,0,0,0,0,3293073621,31109100,27499047,350944,5
13697693,240,250,1.00,5,100,3425390,685108,0,0,0,0,3502260453,14537038,28849096,256714,5
1491289,6,250,1.00,5,100,372871,4649,0,0,0,0,160719589,488333,1522288,4630,5
2865680,12,250,1.00,5,100,716711,10844,0,0,0,0,308965098,1137195,2927574,10775,5
5592427,24,251,1.00,5,100,1399036,21676,0,0,0,0,601607522,2117123,5697339,20089,5
10819751,48,250,1.00,5,100,2706370,70480,0,0,0,0,1163516555,7226014,11018572,68454,5
20037949,96,251,1.00,5,100,5011464,99180,0,0,0,0,2151197520,10356988,20358669,98521,5
27174410,144,250,1.00,5,100,6795406,48752,0,0,0,0,2921088828,4336766,27627565,41064,5
32288443,192,251,1.00,5,100,8077491,497446,0,0,0,0,3503938866,50131074,33053944,482829,5
34697414,240,251,1.00,5,100,8676622,374756,0,0,0,0,3827308919,54558242,35940175,505817,5
496554,6,250,1.00,50,100,124204,866,0,0,0,0,112495002,178240,1151907,1907,5
715313,12,250,1.00,50,100,178828,12596,0,0,0,0,203316508,3481632,2075927,37079,5
953092,24,250,1.00,50,100,238439,61649,0,0,0,0,375578258,7806451,3962723,106552,5
1170025,48,250,1.00,50,100,292672,81630,0,0,0,0,694717219,6542085,7781642,152661,5
1502067,96,250,1.00,50,100,375669,11770,0,0,0,0,1273128938,1851539,14889731,41667,5
1470896,144,250,1.00,50,100,367782,3945,0,0,0,0,1716822495,3222359,20529916,33673,5
1350399,192,250,1.00,50,100,337819,2135,0,0,0,0,1945005139,3202019,23514602,25037,5
1152454,240,250,1.00,50,100,288113,4287,0,0,0,0,1916016739,4148377,23280662,66453,5
718141,6,250,1.00,50,100,179535,1543,0,0,0,0,126089584,183760,1147970,1789,5
1191668,12,251,1.00,50,100,298069,4877,0,0,0,0,245166398,716738,2160878,6417,5
1746905,24,250,1.00,50,100,436903,9549,0,0,0,0,476010626,2371990,4020418,20061,5
2142113,48,250,1.00,50,100,535661,145301,0,0,0,0,928701582,10378537,7464292,119554,5
2583711,96,250,1.00,50,100,646271,18540,0,0,0,0,1805911637,9220958,14043294,73060,5
2348996,144,250,1.00,50,100,587483,204410,0,0,0,0,2552714988,17651187,19464165,191370,5
1994917,192,250,1.00,50,100,498915,188063,0,0,0,0,3075453206,28204018,23191768,266856,5
1921020,240,250,1.00,50,100,480284,190907,0,0,0,0,3291612227,47665136,24743446,407908,5
939265,6,250,1.00,50,100,234912,65780,0,0,0,0,116074897,8285809,1136716,81701,5
1776302,12,251,1.00,50,100,444187,192634,0,0,0,0,216667594,23840520,2114796,234131,5
3247226,24,250,1.00,50,100,812196,535309,0,0,0,0,392802952,66976979,3822031,659904,5
6906123,48,250,1.00,50,100,1727454,30671,0,0,0,0,833569512,3712380,8103118,36007,5
12359524,96,251,1.00,50,100,3091116,89110,0,0,0,0,1464646425,11429874,14146779,111495,5
16971874,144,250,1.00,50,100,4244668,125711,0,0,0,0,1989010660,14830893,19132912,142907,5
20712262,192,250,1.00,50,100,5179436,97819,0,0,0,0,2426529241,11298646,23337221,108823,5
23781464,240,250,1.00,50,100,5947698,300224,0,0,0,0,2788255022,34906782,26803456,334005,5
478771,6,250,1.00,100,100,119740,3307,0,0,0,0,180207714,945307,2143254,10895,5
552983,12,250,1.00,50,100,288246,8971,0,0,0,0,1900133196,11981893,23138943,80977,5
585896,24,251,1.00,100,100,146512,5863,0,0,0,0,331029846,1992168,4068834,23380,5
662428,48,250,1.00,100,100,165607,2248,0,0,0,0,617469615,2098130,7785397,26473,5
729923,96,250,1.00,100,100,182504,4985,0,0,0,0,1142883161,3054240,14637074,37829,5
682025,144,250,1.00,100,100,170571,25137,0,0,0,0,1546002530,7320380,19938763,85557,5
619988,192,250,1.00,100,100,155019,4692,0,0,0,0,1736802859,9850957,22456558,127867,5
506423,240,250,1.00,100,100,126635,2356,0,0,0,0,1683275406,2569430,21802174,32909,5
659137,6,250,1.00,100,100,164834,104740,0,0,0,0,93309450,14917390,939868,150737,5
1277108,12,250,1.00,100,100,319471,217766,0,0,0,0,177112346,31056715,1773866,314190,5
2658754,24,250,1.00,100,100,665040,17168,0,0,0,0,363442391,2379544,3626411,23836,5
4875428,48,250,1.00,100,100,1219342,14893,0,0,0,0,649521904,2160805,6426320,21885,5
8323712,96,250,1.00,100,100,2080928,28076,0,0,0,0,1074959682,3616433,10526595,35450,5
10916558,144,250,1.00,100,100,2729139,120200,0,0,0,0,1405885278,15099558,13751799,147707,5
12572354,192,250,1.00,100,100,3143942,148290,0,0,0,0,1619674188,19433138,15844712,190254,5
13754379,240,250,1.00,100,100,3439050,177569,0,0,0,0,1771621461,23142527,17330516,226185,5
743221,6,251,1.00,100,100,185879,4123,0,0,0,0,105251096,579564,1060444,5905,5
1283238,12,250,1.00,100,100,320855,221369,0,0,0,0,177833409,31555797,1780951,319070,5
2645192,24,250,1.00,100,100,661385,18681,0,0,0,0,361850719,2576345,3610551,25725,5
4897520,48,250,1.00,100,100,1224870,15780,0,0,0,0,652470912,2010258,6455517,20058,5
8327543,96,250,1.00,100,100,2082425,40312,0,0,0,0,1075611527,5058241,10532627,49291,5
10986369,144,250,1.00,100,100,2746947,67526,0,0,0,0,1414455197,8353025,13835199,81552,5
12660757,192,251,1.00,100,100,3166035,176427,0,0,0,0,1630981911,22653438,15954955,221721,5
13743297,240,250,1.00,100,100,3437162,47232,0,0,0,0,1770633668,6669429,17320727,65712,5
