7764629,200,250,0.00,50,100,1942721,0,0,0,0,0,27813576,0,1
4234248,200,250,0.60,50,100,1059379,0,0,0,0,0,26723867,0,1
2277200,200,250,0.80,50,100,569300,0,0,0,0,0,24649396,0,1
1681447,200,250,0.90,50,100,421011,0,0,0,0,0,23833614,0,1
1320832,200,250,1.00,50,100,330438,0,0,0,0,0,23754338,0,1
1063940,200,250,1.10,50,100,265985,0,0,0,0,0,23534682,0,1
729975,200,250,1.20,50,100,182642,0,0,0,0,0,23393722,0,1
737028,200,250,1.30,50,100,184257,0,0,0,0,0,23651066,0,1
505416,200,250,1.40,50,100,126354,0,0,0,0,0,23761614,0,1
556716,200,250,1.50,50,100,139179,0,0,0,0,0,23512897,0,1
10801420,200,250,0.00,50,100,2700355,0,0,0,0,0,26557304,0,1
6625309,200,250,0.60,50,100,1657736,0,0,0,0,0,25435438,0,1
3886915,200,250,0.80,50,100,972513,0,0,0,0,0,24937915,0,1
2976940,200,250,0.90,50,100,744235,0,0,0,0,0,24808631,0,1
2388756,200,250,1.00,50,100,597189,0,0,0,0,0,24761266,0,1
1965756,200,250,1.10,50,100,491439,0,0,0,0,0,24719448,0,1
1660965,200,250,1.20,50,100,415628,0,0,0,0,0,24764048,0,1
1409957,200,250,1.30,50,100,352783,0,0,0,0,0,24820325,0,1
968532,200,250,1.40,50,100,242133,0,0,0,0,0,24495702,0,1
837804,200,250,1.50,50,100,209451,0,0,0,0,0,24729720,0,1
21694160,200,250,0.00,50,100,5427830,0,0,0,0,0,25903167,0,1
21540721,200,250,0.60,50,100,5389401,0,0,0,0,0,25246103,0,1
21353131,200,250,0.80,50,100,5338283,0,0,0,0,0,24578960,0,1
20935003,200,250,0.90,50,100,5237893,0,0,0,0,0,23859739,0,1
20589709,200,250,1.00,50,100,5151461,0,0,0,0,0,23208859,0,1
19823556,200,250,1.10,50,100,4955889,0,0,0,0,0,22067907,0,1
19043452,200,250,1.20,50,100,4760863,0,0,0,0,0,20977658,0,1
17940872,200,250,1.30,50,100,4488626,0,0,0,0,0,19580681,0,1
16672884,200,250,1.40,50,100,4168221,0,0,0,0,0,18068900,0,1
15133444,200,250,1.50,50,100,3783361,0,0,0,0,0,16307851,0,1
