293809,3,1000,1.00,50,100,146956,1487,16925,731,33219,232,2
504335,6,1000,1.00,50,100,252255,393,22168,76,42827,234,2
789395,12,1000,1.00,50,100,394837,24160,33900,1944,92817,5679,2
1088596,24,1000,1.00,50,100,544298,876,50319,356,283664,2619,2
1221333,48,1000,1.00,50,100,611094,39545,69122,1688,755819,45045,2
1409700,72,1000,1.00,50,100,704850,1152,76492,90,1074646,17422,2
1358074,96,1000,1.00,50,100,679037,33446,85491,3280,1612351,53965,2
1387285,120,1000,1.00,50,100,693869,1518,88869,31,2073947,3728,2
369915,3,1000,1.00,50,100,184957,789,21253,62,13678,61,2
652891,6,1000,1.00,50,100,326445,2747,30825,454,14029,324,2
1075270,12,1000,1.00,50,100,537635,8336,59202,156,16277,1980,2
1768284,24,1000,1.00,50,100,884427,3849,122425,919,14438,11,2
2238330,48,1000,1.00,50,100,1119555,73676,343152,4888,15171,124,2
2521343,72,1000,1.00,50,100,1260671,1179,566034,1529,15959,11,2
2447770,96,1000,1.00,50,100,1223885,134,865266,8786,16942,10,2
1943192,120,1000,1.00,50,100,971927,67069,1688244,84127,20089,293,2
433804,3,1000,1.00,50,100,216902,236,3911,10,13647,35,2
815542,6,1000,1.00,50,100,407901,36,4228,17,13605,4,2
1527123,12,1000,1.00,50,100,763816,23095,4573,47,14500,254,2
2897084,24,1000,1.00,50,100,1448542,48148,4915,46,14757,329,2
5239421,48,1000,1.00,50,100,2620584,92155,5394,7,17278,1189,2
6789176,72,1000,1.00,50,100,3395718,9496,7744,89,19418,166,2
7732897,96,1000,1.00,50,100,3867734,12011,8113,17,22837,55,2
8181268,120,1000,1.00,50,100,4090634,102454,9104,189,28714,2362,2
