279578.09375,1,100,zipf,50,,,279578.09375,1,100,zipf,50,,,0-100,100,1988200.5,zipf,8
491069.40625,2,100,zipf,50,,,291084.6875,1,100,zipf,5,,,,1000,1971754.75,zipf,8
837071.25,4,100,zipf,50,,,286965.5,1,100,zipf,0,,,0,10000,1805571.625,zipf,8
1448130.25,8,100,zipf,50,,,276093,1,1000,zipf,50,,,5,100,1982576,zipf,8
291084.6875,1,100,zipf,5,,,294246.78125,1,1000,zipf,5,,,5,1000,1852605.25,zipf,8
559509.375,2,100,zipf,5,,,284209.5,1,1000,zipf,0,,,5,10000,1984870.375,zipf,8
1060687.625,4,100,zipf,5,,,281340.5,1,10000,zipf,50,,,50,100,1448130.25,zipf,8
1982576,8,100,zipf,5,,,291048.71875,1,10000,zipf,5,,,50,1000,1450943.375,zipf,8
286965.5,1,100,zipf,0,,,286383,1,10000,zipf,0,,,50,10000,1645733.5,zipf,8
545826.75,2,100,zipf,0,,,281956.5,1,100000,zipf,50,,,,,,,
1075795.75,4,100,zipf,0,,,291723.5,1,100000,zipf,5,,,,,,,
1988200.5,8,100,zipf,0,,,286155.90625,1,100000,zipf,0,,,,,,,
276093,1,1000,zipf,50,,,491069.40625,2,100,zipf,50,,,,,,,
489025,2,1000,zipf,50,,,559509.375,2,100,zipf,5,,,,,,,
838322,4,1000,zipf,50,,,545826.75,2,100,zipf,0,,,,,,,
1450943.375,8,1000,zipf,50,,,489025,2,1000,zipf,50,,,,,,,
294246.78125,1,1000,zipf,5,,,553742,2,1000,zipf,5,,,,,,,
553742,2,1000,zipf,5,,,533781.3125,2,1000,zipf,0,,,,,,,
1062829.75,4,1000,zipf,5,,,486619,2,10000,zipf,50,,,,,,,
1852605.25,8,1000,zipf,5,,,556812.9375,2,10000,zipf,5,,,,,,,
284209.5,1,1000,zipf,0,,,522124.6875,2,10000,zipf,0,,,,,,,
533781.3125,2,1000,zipf,0,,,507203.875,2,100000,zipf,50,,,,,,,
955310,4,1000,zipf,0,,,559844.4375,2,100000,zipf,5,,,,,,,
1971754.75,8,1000,zipf,0,,,522146.90625,2,100000,zipf,0,,,,,,,
281340.5,1,10000,zipf,50,,,837071.25,4,100,zipf,50,,,,,,,
486619,2,10000,zipf,50,,,1060687.625,4,100,zipf,5,,,,,,,
826139.75,4,10000,zipf,50,,,1075795.75,4,100,zipf,0,,,,,,,
1645733.5,8,10000,zipf,50,,,838322,4,1000,zipf,50,,,,,,,
291048.71875,1,10000,zipf,5,,,1062829.75,4,1000,zipf,5,,,,,,,
556812.9375,2,10000,zipf,5,,,955310,4,1000,zipf,0,,,,,,,
1073146.375,4,10000,zipf,5,,,826139.75,4,10000,zipf,50,,,,,,,
1984870.375,8,10000,zipf,5,,,1073146.375,4,10000,zipf,5,,,,,,,
286383,1,10000,zipf,0,,,985692.0625,4,10000,zipf,0,,,,,,,
522124.6875,2,10000,zipf,0,,,1448130.25,8,100,zipf,50,,,,,,,
985692.0625,4,10000,zipf,0,,,1982576,8,100,zipf,5,,,,,,,
1805571.625,8,10000,zipf,0,,,1988200.5,8,100,zipf,0,,,,,,,
281956.5,1,100000,zipf,50,,,1450943.375,8,1000,zipf,50,,,,,,,
507203.875,2,100000,zipf,50,,,1852605.25,8,1000,zipf,5,,,,,,,
291723.5,1,100000,zipf,5,,,1971754.75,8,1000,zipf,0,,,,,,,
559844.4375,2,100000,zipf,5,,,1645733.5,8,10000,zipf,50,,,,,,,
286155.90625,1,100000,zipf,0,,,1984870.375,8,10000,zipf,5,,,,,,,
522146.90625,2,100000,zipf,0,,,1805571.625,8,10000,zipf,0,,,,,,,
